Number of Bills: 5843
67 	HB 	White, Johnson Jarvis 	Relating to the repeal of the driver responsibility program. 	03/20/2017 	H 	Referred to Homeland Security &amp; Public Safety: Mar 20 2017  3:24PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB67
68 	HB 	Simmons 	Relating to eligibility for a public education grant of certain students receiving special education services. 	02/13/2017 	H 	Referred to Public Education: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB68
69 	HB 	Guillen 	Relating to a requirement that school districts and open-enrollment charter schools report certain information regarding children with disabilities who reside in residential facilities. 	03/14/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB69
70 	HB 	Minjarez, Guillen 	Relating to automatic voter registration on issuance or change of a driver's license or identification card by the Department of Public Safety. 	02/13/2017 	H 	Referred to Elections: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB70
71 	HB 	Martinez "Mando" 	Relating to the transportation of certain mental health patients. 	03/30/2017 	H 	Comm. report sent to Local &amp; Consent Calendar 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB71
72 	HB 	Keough 	Relating to the establishment, operation, and funding of victim-offender mediation programs; authorizing fees. 	03/27/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB72
73 	HB 	Guillen, Bernal 	Relating to a defense to prosecution for certain offenses involving possession of small amounts of controlled substances and other prohibited drugs, substances, or paraphernalia for defendants seeking assistance for a suspected overdose. 	04/10/2017 	H 	Scheduled for public hearing on . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB73
74 	HB 	Flynn 	Relating to the Texas Balance of Powers Act. 	02/14/2017 	H 	Referred to State &amp; Federal Power &amp; Responsibility, Select: Feb 14 2017 11:25AM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB74
75 	HB 	Flynn 	Relating to the education and examination requirements for pharmacy technicians. 	02/13/2017 	H 	Referred to Public Health: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB75
76 	HB 	White 	Relating to certain conditions of suspension or renewal of a driver's license. 	03/14/2017 	H 	Referred to Homeland Security &amp; Public Safety: Mar 14 2017  4:01PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB76
77 	HB 	Metcalf 	Relating to the use of individual graduation committees to satisfy certain public high school graduation requirements. 	02/13/2017 	H 	Referred to Public Education: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB77
78 	HB 	Guillen 	Relating to credits to certain accounts of the Parks and Wildlife Department resulting from the allocation of the proceeds from taxes imposed on the sale, storage, or use of sporting goods. 	02/13/2017 	H 	Referred to Appropriations: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB78
79 	HB 	Guillen 	Relating to the use of alternative assessment instruments for students in a special education program of a public school district. 	03/21/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB79
80 	HB 	Alvarado 	Relating to electronic voter registration. 	02/13/2017 	H 	Referred to Elections: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB80
81 	HB 	Moody, Isaac, Dutton, Minjarez 	Relating to a civil action to collect a civil penalty for possession of certain small amounts of marihuana and an exception to prosecution for possession of associated drug paraphernalia. 	04/03/2017 	H 	Reported favorably as substituted 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB81
82 	HB 	Dutton 	Relating to the penalties for possession of one ounce or less of marihuana and eligibility for placement on community supervision or on deferred adjudication community supervision for that offense. 	02/13/2017 	H 	Referred to Criminal Jurisprudence: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB82
83 	HB 	Flynn, Metcalf 	Relating to a fee waiver for a combination resident hunting and fishing license for certain military personnel. 	02/13/2017 	H 	Referred to Culture, Recreation &amp; Tourism: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB83
84 	HB 	Davis Sarah, Zerwas 	Relating to the sunset review date for the Cancer Prevention and Research Institute of Texas and the time for awarding cancer research and prevention grants. 	04/04/2017 	H 	Reported favorably w/o amendment(s) 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB84
85 	HB 	Keough, Metcalf, Bell 	Relating to the selection of the chief appraiser of an appraisal district; authorizing a fee. 	02/13/2017 	H 	Referred to Ways &amp; Means: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB85
86 	HB 	Guillen 	Relating to providing a sales and use tax refund or franchise tax credit for businesses that employ former offenders. 	02/13/2017 	H 	Referred to Ways &amp; Means: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB86
87 	HB 	Schaefer 	Relating to the regulation of abortion procedures. 	02/13/2017 	H 	Referred to State Affairs: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB87
88 	HB 	Martinez "Mando", Guillen, González Mary, Collier 	Relating to an unlawful employment practice by an employer whose leave policy does not permit an employee to use leave to care for the employee's foster child. 	03/20/2017 	H 	Comm. report sent to Local &amp; Consent Calendar 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB88
89 	HB 	King Phil, Goldman, Alvarado, Davis Sarah, Cook 	Relating to state contracts with and investments in companies that boycott Israel. 	04/07/2017 	H 	Comte report filed with Committee Coordinator 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB89
90 	HB 	Minjarez 	Relating to expanding the category of persons required to pay certain costs on conviction imposed to support drug court programs. 	02/13/2017 	H 	Referred to Criminal Jurisprudence: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB90
91 	HB 	White 	Relating to a review of occupational licensing requirements related to an applicant's criminal history. 	02/13/2017 	H 	Referred to Licensing &amp; Administrative Procedures: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB91
92 	HB 	Guillen 	Relating to the entitlement of spouses of certain veterans with disabilities to a veteran's employment preference. 	04/06/2017 	H 	Comm. report sent to Local &amp; Consent Calendar 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB92
93 	HB 	Krause 	Relating to repealing insupportability as a ground for divorce. 	03/08/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB93
94 	HB 	Dutton 	Relating to the basic allotment and the equalized wealth level under the public school finance system. 	03/07/2017 	H 	Withdrawn from schedule 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB94
95 	HB 	Flynn 	Relating to daylight saving time. 	02/13/2017 	H 	Referred to Government Transparency &amp; Operation: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB95
96 	HB 	Moody 	Relating to the repeal of the offense of homosexual conduct. 	02/13/2017 	H 	Referred to Criminal Jurisprudence: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB96
97 	HB 	Davis Sarah 	Relating to consent to the immunization of certain children for cancer prevention or treatment. 	02/14/2017 	H 	Referred to Public Health: Feb 14 2017 11:25AM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB97
98 	HB 	Martinez "Mando" 	Relating to the requirements for newspaper notice of a public meeting on a permit issued under the National Pollutant Discharge Elimination System. 	03/08/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB98
99 	HB 	Keough, Metcalf, Bell 	Relating to the enforcement of certain federal laws regulating firearms, firearm accessories, and firearm ammunition; creating a criminal offense. 	03/01/2017 	H 	Referred to State &amp; Federal Power &amp; Responsibility, Select: Mar  1 2017  3:20PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB99
100 	HB 	Paddie, Thompson Senfronia, Nevárez, Kuempel, Morrison Geanie W. 	Relating to the regulation of transportation network companies; requiring an occupational permit; authorizing a fee. 	04/04/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB100
101 	HB 	Craddick 	Relating to the development of and contracting for reclaimed water facilities in certain municipalities. 	04/06/2017 	S 	Referred to Administration 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB101
102 	HB 	Guillen 	Relating to exemptions from ad valorem taxes, the sales and use tax, and the franchise tax for certain businesses during an initial period of operation in this state. 	02/13/2017 	H 	Referred to Ways &amp; Means: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB102
103 	HB 	Dutton 	Relating to certain body cavity searches conducted by a peace officer. 	04/11/2017 	H 	Scheduled for public hearing on . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB103
104 	HB 	White 	Relating to notification provided to certain victims of criminal offenses. 	03/29/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB104
105 	HB 	Metcalf 	Relating to the exclusion of Internet access service from the sales and use tax. 	03/08/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB105
106 	HB 	Martinez "Mando", Guillen 	Relating to certain images captured by an unmanned aircraft. 	04/07/2017 	H 	Comte report filed with Committee Coordinator 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB106
107 	HB 	Davis Sarah, Thompson Senfronia 	Relating to a human papillomavirus immunization report. 	02/13/2017 	H 	Referred to Public Health: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB107
108 	HB 	Alvarado, Button, Bernal, Paddie, Gonzales Larry 	Relating to the creation of the Recruit Texas Program to facilitate the relocation to or expansion in this state of employers offering complex or high-skilled employment opportunities. 	03/23/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB108
109 	HB 	White 	Relating to the permit required to transport alcoholic beverages between certain permitted premises; authorizing a fee. 	02/13/2017 	H 	Referred to Licensing &amp; Administrative Procedures: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB109
110 	HB 	Krause 	Relating to the enforcement of certain federal laws regulating firearms, firearm accessories, and firearm ammunition within the State of Texas. 	03/01/2017 	H 	Referred to State &amp; Federal Power &amp; Responsibility, Select: Mar  1 2017  3:20PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB110
111 	HB 	Moody 	Relating to an educational program and fee reductions to improve firearm safety. 	02/13/2017 	H 	Referred to Homeland Security &amp; Public Safety: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB111
112 	HB 	Dutton, Vo 	Relating to a limitation on the amount of tuition charged by public institutions of higher education. 	02/13/2017 	H 	Referred to Higher Education: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB112
113 	HB 	Keough, Metcalf, Bell 	Relating to the authority of the governing body of a local authority to impose a civil penalty for certain violations recorded by an automated traffic control system or a photographic traffic signal enforcement system; providing a civil penalty. 	02/14/2017 	H 	Referred to Transportation: Feb 14 2017 11:25AM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB113
114 	HB 	Krause 	Relating to zero-based budgeting for certain entities funded by this state and submission of a zero-based budget by and performance of a financial audit of an agency undergoing review by the Sunset Advisory Commission. 	02/13/2017 	H 	Referred to Appropriations: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB114
115 	HB 	Guillen, Springer 	Relating to the value of a residential dwelling that may be offered or awarded as a prize at a charitable raffle. 	04/03/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB115
116 	HB 	Minjarez, Faircloth, Moody, Larson, King Ken 	Relating to the availability of certain pre-suit discovery in connection with a claim involving injury to or death of a minor. 	02/13/2017 	H 	Referred to Judiciary &amp; Civil Jurisprudence: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB116
117 	HB 	White, Anderson Rodney 	Relating to ethyl alcohol monitoring as a condition of community supervision for certain intoxication offenses; authorizing the imposition of costs. 	03/29/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB117
118 	HB 	Moody, Arévalo 	Relating to the personal needs allowance for certain Medicaid recipients who are residents of long-term care facilities. 	02/13/2017 	H 	Referred to Human Services: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB118
