Number of Bills: 2804
38 	SB 	Zaffirini 	Relating to certain procedural matters in courts exercising probate jurisdiction. 	03/20/2017 	S 	Reported engrossed 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB38
39 	SB 	Zaffirini 	Relating to guardianships for persons who have physical disabilities or who are incapacitated. 	03/23/2017 	S 	Scheduled for public hearing on  . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB39
40 	SB 	Zaffirini 	Relating to the bond required and the bond insurance obtained for certain judges. 	03/15/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB40
41 	SB 	Zaffirini 	Relating to the demand for an accounting from an attorney in fact or agent of a principal by certain persons. 	03/09/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB41
42 	SB 	Zaffirini 	Relating to the security of courts and judges in the state. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB42
43 	SB 	Zaffirini 	Relating to the Judicial Branch Certification Commission; authorizing fees; modifying existing penalties. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB43
44 	SB 	Zaffirini 	Relating to petition requirements for an application for a place on the general primary election ballot for certain judicial offices. 	03/01/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB44
45 	SB 	Zaffirini 	Relating to the service retirement annuity for certain members of the Judicial Retirement System of Texas Plan Two who resume service. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB45
46 	SB 	Zaffirini 	Relating to allowing judges to use juror identification numbers when polling the jury. 	03/02/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB46
47 	SB 	Zaffirini 	Relating to a study on the availability of information regarding convictions and deferred dispositions for certain misdemeanors punishable by fine only. 	01/24/2017 	S 	Referred to Criminal Justice 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB47
48 	SB 	Zaffirini 	Relating to exempting books purchased, used, or consumed by certain university and college students from the sales and use tax for limited periods. 	01/24/2017 	S 	Referred to Finance 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB48
49 	SB 	Zaffirini 	Relating to the appointment by certain elected officials of students to receive a Texas Armed Services Scholarship. 	03/07/2017 	H 	Received from the Senate 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB49
50 	SB 	Zaffirini 	Relating to the offense of hazing. 	01/24/2017 	S 	Referred to Criminal Justice 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB50
