District,House URL,TLO URL,House Members,First Name,Party
119,http://www.house.state.tx.us/members/member-page/?district=119,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3025,Gutierrez, Roland,D
5,http://www.house.state.tx.us/members/member-page/?district=5,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3505,Hefner, Cole,R
143,http://www.house.state.tx.us/members/member-page/?district=143,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3155,Hernandez, Ana,D
34,http://www.house.state.tx.us/members/member-page/?district=34,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3140,Herrero, Abel,D
49,http://www.house.state.tx.us/members/member-page/?district=49,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3210,Hinojosa Gina, Gina ,"F,D"
33,http://www.house.state.tx.us/members/member-page/?district=33,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3205,Holland, Justin ,"F,R"
48,http://www.house.state.tx.us/members/member-page/?district=48,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3310,Howard, Donna,D
127,http://www.house.state.tx.us/members/member-page/?district=127,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2285,Huberty, Dan,R
32,http://www.house.state.tx.us/members/member-page/?district=32,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3365,Hunter, Todd,R
45,http://www.house.state.tx.us/members/member-page/?district=45,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2070,Isaac, Jason,R
50,http://www.house.state.tx.us/members/member-page/?district=50,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2415,Israel, Celia,D
100,http://www.house.state.tx.us/members/member-page/?district=100,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3345,Johnson Eric, Eric,D
139,http://www.house.state.tx.us/members/member-page/?district=139,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3185,Johnson Jarvis, Jarvis,D
12,http://www.house.state.tx.us/members/member-page/?district=12,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2445,Kacal, Kyle,R
15,http://www.house.state.tx.us/members/member-page/?district=15,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2895,Keough, Mark,R
88,http://www.house.state.tx.us/members/member-page/?district=88,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2455,King Ken, Ken,R
61,http://www.house.state.tx.us/members/member-page/?district=61,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3470,King Phil, Phil,R
80,http://www.house.state.tx.us/members/member-page/?district=80,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3465,King Tracy O., Tracy O.,D
91,http://www.house.state.tx.us/members/member-page/?district=91,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2460,Klick, Stephanie,R
102,http://www.house.state.tx.us/members/member-page/?district=102,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3070,Koop, Linda,R
93,http://www.house.state.tx.us/members/member-page/?district=93,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2465,Krause, Matt,R
44,http://www.house.state.tx.us/members/member-page/?district=44,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2310,Kuempel, John,R
71,http://www.house.state.tx.us/members/member-page/?district=71,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3225,Lambert, Stan,R
81,http://www.house.state.tx.us/members/member-page/?district=81,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3040,Landgraf, Brooks,R
60,http://www.house.state.tx.us/members/member-page/?district=60,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3530,Lang, Mike ,"F,R"
122,http://www.house.state.tx.us/members/member-page/?district=122,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2245,Larson, Lyle,R
